epoch,accuracy,loss,val_accuracy,val_loss
0,0.5468348860740662,2.1937334537506104,0.8770358562469482,0.8202667832374573
1,0.8622040152549744,0.8361309170722961,0.9500203728675842,0.4750632047653198
2,0.9163762927055359,0.5985994935035706,0.9669177532196045,0.3958970606327057
3,0.9415041208267212,0.49937281012535095,0.975570023059845,0.35476985573768616
4,0.9540934562683105,0.44591212272644043,0.9793363213539124,0.32886192202568054
5,0.9607568979263306,0.404643177986145,0.9845277070999146,0.3085384666919708
6,0.9672423005104065,0.3758242130279541,0.9866653084754944,0.29162830114364624
7,0.9728121161460876,0.35098662972450256,0.9884975552558899,0.2781471014022827
8,0.9748467803001404,0.3319544494152069,0.9894136786460876,0.26547864079475403
9,0.9792212247848511,0.3094591796398163,0.9906351566314697,0.25363361835479736
