epoch,accuracy,loss,val_accuracy,val_loss
0,0.6487448811531067,1.7169259786605835,0.8632939457893372,0.8480734825134277
1,0.8974032998085022,0.6768519282341003,0.9581636786460876,0.44098085165023804
2,0.9321193099021912,0.5268082618713379,0.9698697328567505,0.3817024230957031
3,0.9496426582336426,0.45335912704467773,0.9763843417167664,0.3467380702495575
4,0.9593326449394226,0.40945735573768616,0.9802524447441101,0.32430872321128845
5,0.965894341468811,0.3808249831199646,0.9824918508529663,0.3057793378829956
6,0.9706757664680481,0.35254356265068054,0.9864616990089417,0.2875332832336426
7,0.9727612733840942,0.33294808864593506,0.9862581491470337,0.27535122632980347
8,0.975558876991272,0.3153342306613922,0.9859527945518494,0.2649574875831604
9,0.9780259132385254,0.29789263010025024,0.989006519317627,0.2511206269264221
